url,verno,whisper,t5_corrected,finetuned_corrected,whisper_medium
http://storage.mds.yandex.net:80/get-voicetoloka/2021744/53085fa6-1df6-4d46-ae00-4ce2b89ac0ca,интерстеллар, Интерстеллер,Интерстеллер,интерстеллер,Интерстеллар
http://storage.mds.yandex.net:80/get-voicetoloka/2021744/98ba5a8c-5469-458b-a850-fd41fe24c7e1,алладин, Аладдина.,Аладдина.,лаборатория,Аладдин
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/86aaebac-a43a-4f80-a6e4-136bfb5492e3,головоломка, Голова ломка.,Голова ломка.,голова ломкая,Головоломка
http://storage.mds.yandex.net:80/get-voicetoloka/1879367/4ca1580f-5414-49b8-b816-72f623733105,ледниковый период, Ледниковый период,Ледниковый период,Ледниковый период,Ледниковый период.
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/d6b51378-81b8-4b1f-8f80-0beef4a10592,отис реддинг, Otis Redding,Otis Redding,Otis Redding,Otis Redding
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/d92c0f04-21ec-4578-98ec-d05602683126,бобби винтон, Бобби Винтон,Бобби Винтон,Бобби Винтон,Бобби Винтон
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/47b9b402-e832-438d-ad85-3f7375867e4a,коул портер, КОУ ПОРТЕР,КОУ ПОРТЕР,кому подарят,Коул-портер
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/236b63a8-8f37-444d-8340-25324620e985,адвокат дьявола, адвокат делала,Адвокат делала.,адвокат делала,адвокат дьявола
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/ba9e8621-7c94-46aa-93de-abb816732da7,отступники, Отступники.,Отступники.,преступник,Отступники.
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/871a6ddc-77b3-45e0-ab4d-2bdcddb78515,звздные войны эпизод пятый империя наносит ответный удар, Звездной войны. Эпизод 5. Империя наносит ответный удар.,Звездной войны. Эпизод 5. Империя наносит ответный удар.,Звездные войны. Эпизод 5. Империя наносит ответный удар,Звездные войны. Эпизод 5. Империя наносит ответный удар.
http://storage.mds.yandex.net:80/get-voicetoloka/2021744/2b9c598f-c08f-43eb-ac28-72cf962a9a05,ирония судьбы или с лгким паром, Ирония судьбы или с лёгким паром,Ирония судьбы или с лёгким паром.,иронии судьбы или с лёгким паром,Ирония судьбы или с легким паром.
http://storage.mds.yandex.net:80/get-voicetoloka/1879367/3274fc24-5460-43f4-8846-b77ffd73a202,брат, Брат,Брат.,брат,брат
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/bbc64f47-2cfe-4cce-944d-2022fef45357,три идиота, 3. Идиота,3. Идиота.,3. Идиотия,Три идиота.
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/776a335c-4817-4ed4-8a63-4b88bfaf1c2d,мой сосед тоторо, Мой сосед татура.,Мой сосед Татура.,"мой сосед, культура",Мой сасиат татура
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/537c7e5c-fda8-46f2-8395-4420dd34dec5,бальмонт константин дмитриевич," Барьмонт, Костянкин Дмитрий.","Барьмонт, Костянкин, Дмитрий","барьер, Костянкин Дмитрий",Барь Монд Костантин Дмитрий
http://storage.mds.yandex.net:80/get-voicetoloka/1879367/ed3f4cd7-801b-4d3c-a237-a9d662d04fd5,фил коллинз, Feel callings.,Feel callings.,feel calling,Фил Колинс
http://storage.mds.yandex.net:80/get-voicetoloka/1879367/f72678b7-c101-402f-bf8c-825bf4d70418,город бога, город бога,Город Бога,город бога,город бога
http://storage.mds.yandex.net:80/get-voicetoloka/1879367/9e07115e-bb04-49ad-bab5-c31c1ab70b27,джеки робинсон, Джеки Робинсон,Джеки Робинсон,Джеки Робинсон,Джеки Рубинсон
http://storage.mds.yandex.net:80/get-voicetoloka/1879367/eb8495aa-d429-4326-9e42-f6786555647a,отель руанда, Отель Руанда,Отель Руанда,отель «Руанда,Отель Роанда
http://storage.mds.yandex.net:80/get-voicetoloka/2021744/46a1b365-6ee9-43d6-8a36-42a37c40dbc0,кенни роджерс, Кень Роджерс,Кень Роджерс,дождь Роджерс,Кенни Роджерс
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/8eec6bf4-818c-4852-8063-0bcc5d2e7175,гладиатор, Угладиатор,Угладиатор.,архитектор,Угладиатор.
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/5fdd45c8-59c9-4c90-bf81-e426cf597f40,джулианна мур, Жулианна Мур,Жулианна Мур,Джулианна Мур,Джулианна Мурр.
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/d69a744d-0510-4a61-9705-95901544390f,эмма стоун, Мммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммм,Ммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммм,мммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммм,мст о
http://storage.mds.yandex.net:80/get-voicetoloka/1879367/56280403-d892-44fb-864a-81fb2943c77c,гроздья гнева, Гроздь я к Неву.,Гроздь я к Неву.,гроздь к нему,Гроздье гнева.
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/84c7ed3f-4010-4de2-8a30-88a312be0bba,смоки робинсон, Смоки Робинсон,Смоки Робинсон,Стивен Робинсон,Смоки Робинсон
http://storage.mds.yandex.net:80/get-voicetoloka/1879367/0a450eae-9d55-4bf0-aba8-a6f2e1162706,огни большого города, Огни большого города,Огни большого города.,огни большого города,Огни большого города
http://storage.mds.yandex.net:80/get-voicetoloka/1879367/ce29f3d2-8c47-4466-a2b5-7bcb73b0eb02,воин, двое,Двое.,двое,Воин
http://storage.mds.yandex.net:80/get-voicetoloka/2021744/4201a552-ca79-4a67-9b2a-126d75d0a3be,римские каникулы, Римский каникул,Римский каникул.,Римский каникул,Римские каникулы
http://storage.mds.yandex.net:80/get-voicetoloka/2021744/1822f91a-1888-44fa-9104-f4d06d864010,нокдаун, Нокдаун,Нокдаун,ночь,Knockdown
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/59d62edf-fea9-4825-8f74-9e9927280f1e,зигмунд фрейд, Зег мунд фрейд,Зегмунд Фрейд,Зегмунд Фрейд,Зигмунд фрейд!
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/eb158b7a-c882-495f-955c-a20b23c3b4cb,таксист, Таксист.,Таксист.,таксист,Таксист.
http://storage.mds.yandex.net:80/get-voicetoloka/2021744/77d390c1-45ad-414d-9843-640527a52018,иван павлов, Иван Павлов,Иван Павлов,Иван Павлов,Иван Павлов
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/703e7d9c-b170-4762-b5d3-c4fa8e4be0e8,николай коперник, Николай Каперник,Николай Каперник,Николай Каперник,Николай Коперник
http://storage.mds.yandex.net:80/get-voicetoloka/2021744/6322d6cd-0928-4b4d-b96d-7cf78a86d7e6,фернандо ботеро, Фернандо Баторо,Фернандо Баторо,Фернандо Бато,Фернандо Батаро
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/b85b751d-b0b9-4b74-a62f-53b26a0d95ca,ханс хартунг, Ханс Хартун,Ханс Хартун,Ханс Хартун,Ханс Хартун
http://storage.mds.yandex.net:80/get-voicetoloka/1879367/66d66f3c-0ead-4714-95c7-6e6750fb8539,мушкетов иван васильевич, Мушкетов Иван Васильевич,Мушкетов Иван Васильевич,Муратов Иван Васильевич,Мушкетов Иван Васильевич
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/1c215f06-d03e-4094-96c7-db5b3c3d1105,пол маккартни, Полмакартни,Пол Маккартни,полукартни,пол маккартни
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/adaaff15-9678-41d6-abe1-84ee20c24c44,умница уилл хантинг, Умница Уилл Хантинг,Умница Уилл Хантинг.,умница Уилл Хантинг,Умница Уилл Хантинг
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/712d06b3-ebd5-4bc0-ba8d-5fd1e7969458,индиана джонс и последний крестовый поход, Индиана Джонс и последний крестовый поход.,Индиана Джонс и последний крестовый поход.,Индиана Джонс и последний крестовый поход,Индиана Джонс и последний крестовый поход
http://storage.mds.yandex.net:80/get-voicetoloka/2021744/533e00e4-0e05-4319-b82e-411ab57b8802,бейб дидриксон захариас, Бейб Дидриксон Захарис,Бейб Дидриксон Захарис,Бейб Диксон Захарис,Бэйб Дидриксон Захариас
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/13256106-9e6e-46fc-9c22-efec2a7de09f,джим торп, Джим торп.,Джим Торп.,Джим Торп,Jim Torp
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/286bd6c3-a984-4eb6-8955-b27643b1cfd7,ходасевич владислав фелицианович, Ходосевич Владислав Филицанович,Ходосевич Владислав Филицанович,Ходосевич Владислав Филицанович,Ходосевич Владислав Филицианович
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/4bd0ad25-e86a-4275-85b6-4d11ac96cfdc,мой отец и мой сын, Мой отец и мой сын,Мой отец и мой сын.,мой отец и мой сын,мой отец и мой сын.
http://storage.mds.yandex.net:80/get-voicetoloka/1879367/7bb27c39-5384-4e77-a6c8-bf9789c00337,космическая одиссея две тысячи первого года, Космическая Одессия 2001 года,"Космическая Одесса, 2001 года","Космическая Одесса, 2001 год",Космическая Одиссея 2001 года
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/759edbe2-5d4f-4c88-acdc-439fcd5eb6c1,майкл фарадей, Michael Fradey,Michael Fradey,Michael Fradey,Michael Fradey
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/1972e18d-dc62-418f-8a00-61f3235bbab9,брэд питт, Бред пит,Бред Питт,виски,Брэд Пит
http://storage.mds.yandex.net:80/get-voicetoloka/2021744/3159d866-1c94-41ed-a274-e8ccee3fb966,гарри поттер и дары смерти часть два," Гарри Поттеру, дарию смерти, часть 2.",Гарри Поттер: Дарию Смерти. Часть 2.,"Гарри Поттер: Дарию смерти, часть 2.","Гарри Поттеру и Дарию Смерти, часть 2"
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/f41d0849-5116-4900-b4c5-c9e201c30e06,четыреста ударов, 400 ударов,400 ударов,400 ударов,400 ударов
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/4c0f8f80-99f2-4dba-b54f-1860e07af180,гарри поттер и дары смерти часть два," Гарри Поттер и дары смерти, части два.",Гарри Поттер и Дары Смерти. Часть 2.,"Гарри Поттер и дары смерти, часть 2","Гарри Путер и дары смерти, часть 2"
http://storage.mds.yandex.net:80/get-voicetoloka/1879367/2144ca43-13e4-49ad-9c8e-5a5ecf8599d9,распутин валентин григорьевич, Распутин Валентин Григорьевич,Распутин Валентин Григорьевич,Распутин Валентин Григорьевич,Распутин Валентин Григорьевич
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/eebe7151-43f7-4e5f-af3d-d7a1a3ab2197,александр владимирович попов, Александр Владимирович Попов,Александр Владимирович Попов,Александр Владимирович Попов,Александр Владимирович Попов
http://storage.mds.yandex.net:80/get-voicetoloka/1879367/0b495d2e-a15e-4ee6-8283-316fb821abf2,унесенные ветром, Унесённый ветром.,Унесённый ветром.,унесённый ветром,унесенные ветром.
http://storage.mds.yandex.net:80/get-voicetoloka/2021744/38e898d9-0707-4b1f-a01a-c2da05315be6,ходячий замок, Ходячий замок,Ходячий замок.,ходячий замок,Ходячий замок
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/ca50a690-f1af-4a75-84e7-a8b121eff5e7,джон гудман, Джон Гудман,Джон Гудман,Джон Гудман,John Goodman
http://storage.mds.yandex.net:80/get-voicetoloka/18463/6aa3e60d-d38a-4828-8e07-5cb28ce1677c,ультиматум борна, Ультиматум ворна.,Ультиматум Варна.,Ультимативная,Ультиматум ворна
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/1f418f48-7d16-41c4-b1ec-a06ec58aacfd,старший сын, Старший сын,Старший сын.,старший сын,Старший сын
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/f3a2f832-413e-49e7-a332-f565694c7604,франсиско писарро, Франциска Писсера,Франциска Писсера,Франциска Писсера,Франциско Писцаро
http://storage.mds.yandex.net:80/get-voicetoloka/2021744/5baa289b-4373-47ff-8203-4462e052510f,джерард батлер, Джерард Батлер,Джерард Батлер,Джерард Батлер,Джерард Батлер
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/25c34061-fef9-4563-a813-e36b910f1e70,рене декарт, Рене-декарт.,Рене-Декарт.,рене-декарт,Rene Descartes
http://storage.mds.yandex.net:80/get-voicetoloka/1879367/52f5c4dd-0c56-4e90-9f9b-162e2eab83f5,арета франклин, Орета Франклин,Орета Франклин,опера Франклин,Арета Франклин
http://storage.mds.yandex.net:80/get-voicetoloka/2021744/86cae6ee-fe19-43b7-b6c7-cd30736167b1,жан поль сартр, Жан-поль-сартер,Жан-Поль-Сартер,Жан-Поль-Спорт,Жан-Оль-Сартр
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/e3c3340d-2ac2-4c10-be96-8ee64b425d7b,на игле, На игре.,На игре.,на игре,на игле
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/09c0c412-2316-4bf4-9f92-8349067de618,брюс спрингстин, Брюс Springsteam,Брюс. ringsteam.,Брюс Ringsteam,Брюс Спрингстин
http://storage.mds.yandex.net:80/get-voicetoloka/2021744/00760e69-35b8-4c65-84f6-c1d0e82907c2,помни, Помни!,Помни!,помнить,Помни!
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/ed83b5df-882e-45ce-80b5-80a174a1c10c,элизабет бэнкс, Elizabeth Banks,Elizabeth Banks,Elizabeth Banks,Элизабет Бэнкс
http://storage.mds.yandex.net:80/get-voicetoloka/1879367/163e0da8-750f-45d4-b5d5-8982fb060c12,новый кинотеатр парадизо, Новый кинотеатр пародизо,Новый кинотеатр пародии,новый кинотеатр пародия,новый кинотеатр парадизо
http://storage.mds.yandex.net:80/get-voicetoloka/1879367/af0b23ef-7519-49e0-b32c-cab81f50f2f7,крепкий орешек, Крепкий орешек.,Крепкий орешек.,крепкий орешек,Крепкий орешек.
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/f9d9fa24-0e3c-430f-8e42-622a0fa0c6a5,кейт буш, Кейт Буш.,Кейт Буш.,Кейт Буш,Кейт Буш
